temperature,strong_wind
0.4363961966143078,True
0.44221769372130537,True
0.015760688983393466,True
-0.6856434680078057,True
-0.41716464587340074,False
-0.022337775416819517,False
-0.1517906221960564,False
-0.057396124661162055,True
0.17960349089468167,True
-0.4999592713950895,True
-0.4203988109328419,True
-0.224149675125952,False
-0.03449823604032483,True
0.13242780322763514,True
-0.0890478200428934,True
-0.06757296404820605,True
-0.05276048807596582,False
0.05491564730302734,True
-0.05976784570475301,False
-0.015050123482882479,False
0.10726599906518088,True
-0.4661083437729431,True
-1.0680942668369222,False
-1.1499833261419712,True
-0.6685239542931648,False
-0.3776647099474268,False
-0.24972114019593067,False
-0.2942232514138416,False
-0.5276868465046995,False
-0.34338256031734943,False
-0.437151785940748,False
-0.545108215624891,False
-0.31149369283125783,False
-0.3266511464098381,False
-0.4352759702062665,False
-0.4383376464625376,True
-0.5347157652338874,True
-0.8169074472203222,True
-1.5389455772907592,True
-1.76477654284134,True
-1.4802131398113085,False
-1.1730537035659843,False
-1.0629627249426106,False
-0.7131985543142458,False
-0.8914872934910394,False
-0.7614954192019034,False
-0.900305783553112,False
-0.8655924119151095,False
-0.9488613816455247,False
-0.8483004093973043,False
-0.9968132689268363,True
-1.0680080224353312,False
-0.8702280485003117,False
-0.843858822715667,False
-1.2576594615209642,False
-1.0051789758805891,False
-0.8752086626918538,False
-0.8768473063219692,False
-0.834738477248044,False
-0.8410990018649465,False
-0.705630608075153,False
-0.9440963784579479,True
-0.9331649005570336,False
-0.7618835190090331,False
-0.8277311196192568,False
-0.9490985537498849,True
-1.159815187922675,True
-2.20082823725559,True
-1.7799986797211047,False
-1.6292865879511518,False
-1.4185915148787567,False
-1.2978493526596242,True
-1.59802299237655,True
-1.6304508873725525,True
-1.8122972081147266,True
-1.5376087890661885,False
-1.4379965052354036,True
-2.225019791900208,True
-2.0437340597683336,False
-1.7180536382826135,False
-1.4430849249289255,False
-1.3615408432302165,True
-1.5696485842550554,True
-1.8364025183577601,True
